#E[GeV] xs[pb] err_up[%] err_down[%]
50 0.32 4.1 2.3
100 0.65 3.8 2.0
200 1.3 3.5 1.8
500 3.2 3.2 1.7
1000 6.2 3.0 1.6
2000 12.0 2.7 1.6
5000 27.0 2.3 1.5
10000 47.0 2.0 1.4
20000 77.0 1.8 1.3
50000 140.0 1.5 1.2
100000 210.0 1.4 1.2
200000 310.0 1.5 1.1
500000 490.0 1.6 1.0
1000000 690.0 1.7 0.9
2000000 950.0 1.9 0.9
5000000 1400.0 2.0 0.9
10000000 1900.0 2.2 0.9
20000000 2600.0 2.3 0.9
50000000 3700.0 2.5 0.9
100000000 4800.0 2.7 0.9
200000000 6200.0 2.8 1.0
500000000 8700.0 3.0 1.1
1000000000 11000.0 3.1 1.2
2000000000 14000.0 3.3 1.2
5000000000 19000.0 3.4 1.4
10000000000 24000.0 3.6 1.5
20000000000 30000.0 3.7 1.6
50000000000 39000.0 3.8 1.7
100000000000 48000.0 4.0 1.8
200000000000 59000.0 4.1 1.9
500000000000 75000.0 4.2 2.0
